Date,Player Name,Score,Food_Eaten,Game_Duration,Grid_Size,Collision
2024/12/06 22:11:14,Player,0,0,0.8s,600x600,Wall
2024/12/06 22:11:35,Player,0,0,0.8s,600x600,Wall
2024/12/06 22:12:10,Player,0,0,2.3s,600x600,Wall
2024/12/06 22:12:47,Player,50,1,2.0s,600x600,Wall
2024/12/06 22:12:55,Player,0,0,0.3s,600x600,Wall
2024/12/06 22:12:58,Player,0,0,0.3s,600x600,Wall
2024/12/06 22:13:01,Player,0,0,0.3s,600x600,Wall
2024/12/06 22:13:06,Player,0,0,0.3s,600x600,Wall
2024/12/06 22:13:10,Player,0,0,0.3s,600x600,Wall
2024/12/06 22:13:23,Player,0,0,0.3s,600x600,Wall
2024/12/06 22:13:26,Player,0,0,0.3s,600x600,Wall
2024/12/06 22:13:29,Player,0,0,0.3s,600x600,Wall
2024/12/06 22:13:33,Player,0,0,0.5s,600x600,Wall
2024/12/06 22:13:52,Player,0,0,0.3s,600x600,Wall
2024/12/06 22:19:13,Player,50,1,5.0s,600x600,Wall
2024/12/06 22:19:52,Player,700,14,34.9s,600x600,Wall
2024/12/06 22:35:15,Player,50,1,5.6s,600x600,Self
2024/12/06 22:36:34,Player,500,10,21.5s,600x600,Self
2024/12/06 22:38:42,Player,50,1,3.6s,600x600,Wall
2024/12/06 22:41:28,Player,0,0,3.5s,600x600,Wall
2024/12/06 22:44:38,Player,0,0,1.1s,600x600,Wall
